C 0 28632862297b312c7d292b	C 0 0 2
X 2 61636263616363	X 0 1 1,3 1,3 2,3
X 2 61636261626262	X 0 1 1,3 1,3 2,3
X 3 62616363616361	X 0 0
X 1 6162626261	X 0 0
X 1 626262	X 0 0
X 0 6261616262	X 0 0
C 0 63285b5b3d613d5d5d7c5b5b3a616c7068613a5d5d297b312c7d	C 0 0 1
X 3 63	X 0 0
X 2 6261	X 0 0
X 3 616162626263	X 0 0
X 1 62	X 0 0
X 1 62	X 0 0
X 0 636263	X 0 1 0,3 2,3
C 0 5b612d635d2e7c6124	C 0 0 0
X 0 61636363626261	X 0 1 0,2
X 2 6262	X 0 1 0,2
X 1 -	X 0 0
X 2 626161	X 0 1 0,2
X 2 6161	X 0 1 0,2
X 1 636262616161	X 0 1 0,2
C 0 5b5b3d613d5d5d5b5e615d2e7c2e2a	C 0 0 0
X 3 63636363	X 0 1 0,4
X 1 62626262	X 0 1 0,4
X 2 61616263626162	X 0 1 0,7
X 2 616161616261	X 0 1 0,6
X 2 61636262616163	X 0 1 0,7
X 3 62	X 0 1 0,1
C 0 617b302c327d7c5b5b3d613d5d5d2e24	C 0 0 0
X 0 -	X 0 1 0,0
X 2 61636361616362	X 0 1 0,1
X 3 -	X 0 1 0,0
X 0 6261	X 0 1 0,0
X 0 636162	X 0 1 0,0
X 3 636261	X 0 1 0,0
C 0 285b612d635d7b327d3f297b302c327d	C 0 0 1
X 0 6362	X 0 1 0,0 -1,-1
X 0 6163	X 0 1 0,0 -1,-1
X 3 63616161	X 0 1 0,0 -1,-1
X 1 6361636362	X 0 1 0,0 -1,-1
X 1 62	X 0 1 0,0 -1,-1
X 0 6263636163	X 0 1 0,0 -1,-1
C 0 5e5b612d635d3f7c5e5b5b3d613d5d5d7c2e7c5b5e615d	C 0 0 0
X 0 -	X 0 1 0,0
X 1 616161	X 0 1 0,1
X 3 636162616263	X 0 1 0,1
X 3 62	X 0 1 0,1
X 1 -	X 0 0
X 3 63616162636161	X 0 1 0,1
C 0 2e5b5b3d613d5d5d5e5b5b3a616c7068613a5d5d	C 0 0 0
X 3 63626263616161	X 0 0
X 3 6161	X 0 0
X 3 62	X 0 0
X 0 636262	X 0 0
X 1 626161626162	X 0 0
X 1 6261	X 0 0
C 0 615b61625d622e7c5b61625d	C 0 0 0
X 0 6361616161	X 0 1 1,2
X 2 6363	X 0 0
X 2 61636161636162	X 0 1 0,1
X 0 61616362616362	X 0 1 0,1
X 2 63	X 0 0
X 0 6163	X 0 1 0,1
C 0 5b5e615d5e5b5e615d7b327d	C 0 0 0
X 2 626261616261	X 0 0
X 0 6161616361	X 0 0
X 1 62626163636361	X 0 0
X 1 616163626262	X 0 0
X 3 636262	X 0 0
X 1 61	X 0 0
C 0 6361247c5e5b612d635d	C 0 0 0
X 2 616363626363	X 0 1 0,1
X 1 626362	X 0 0
X 2 63626162616363	X 0 1 0,1
X 1 6162	X 0 0
X 0 62	X 0 1 0,1
X 2 616261626261	X 0 1 0,1
C 0 637b302c327d3f285e63297b302c327d3f	C 0 0 1
X 0 62626261626262	X 0 1 0,0 -1,-1
X 1 636163	X 0 1 0,0 -1,-1
X 2 6263616363	X 0 1 0,0 -1,-1
X 0 6163626262	X 0 1 0,0 -1,-1
X 1 63616362636262	X 0 1 0,0 -1,-1
X 3 616263	X 0 1 0,0 -1,-1
C 0 5b5b3a616c7068613a5d5d24	C 0 0 0
X 2 626163626163	X 0 0
X 0 62	X 0 1 0,1
X 2 6362	X 0 0
X 0 63616363	X 0 1 3,4
X 0 616363616362	X 0 1 5,6
X 2 626361616262	X 0 0
C 0 285b61625d2e6129	C 0 0 1
X 2 616263	X 0 0
X 2 6361	X 0 0
X 1 626163626362	X 0 0
X 2 -	X 0 0
X 1 626261	X 0 1 0,3 0,3
X 2 6163626163	X 0 0
C 0 286262293f24	C 0 0 1
X 3 62616261	X 0 0
X 0 62	X 0 1 1,1 -1,-1
X 0 61616162	X 0 1 4,4 -1,-1
X 2 626261616161	X 0 0
X 1 626361626363	X 0 1 6,6 -1,-1
X 1 6262	X 0 1 0,2 0,2
C 0 5b5e615d3f3f7c5b612d635d5b5e615d5b61625d	C 0 0 0
X 2 61626363616161	X 0 1 0,0
X 2 -	X 0 1 0,0
X 3 -	X 0 1 0,0
X 1 6163	X 0 1 0,0
X 3 6263616262	X 0 1 0,3
X 3 6363	X 0 1 0,0
C 0 5b5b3a616c7068613a5d5d2b	C 0 0 0
X 0 61	X 0 1 0,1
X 3 6262	X 0 1 0,2
X 0 63636263636163	X 0 1 0,7
X 0 63616263	X 0 1 0,4
X 0 626263	X 0 1 0,3
X 1 616161	X 0 1 0,3
C 0 28282e61297b327d3f292a	C 0 0 2
X 3 63636363	X 0 1 0,0 -1,-1 -1,-1
X 2 6263636261	X 0 1 0,0 -1,-1 -1,-1
X 3 -	X 0 1 0,0 -1,-1 -1,-1
X 0 63	X 0 1 0,0 -1,-1 -1,-1
X 0 -	X 0 1 0,0 -1,-1 -1,-1
X 2 6262616362	X 0 1 0,0 -1,-1 -1,-1
C 0 5e5e635b5e615d	C 0 0 0
X 3 616263	X 0 0
X 1 63616161	X 0 0
X 1 -	X 0 0
X 1 636363	X 0 0
X 2 61616162626262	X 0 0
X 0 636162	X 0 0
C 0 5b5e615d2e5b61625d5b5b3a616c7068613a5d5d2e5b612d635d5b5b3a616c7068613a5d5d	C 0 0 0
X 0 -	X 0 0
X 3 61	X 0 0
X 0 61	X 0 0
X 3 6162616361	X 0 0
X 0 61	X 0 0
X 3 636162636362	X 0 0
C 0 62282e2b292a	C 0 0 1
X 1 -	X 0 0
X 1 626363636261	X 0 1 0,6 1,6
X 1 62636163636361	X 0 1 0,7 1,7
X 1 -	X 0 0
X 1 61	X 0 0
X 1 626261626163	X 0 1 0,6 1,6
C 0 5b5b3d613d5d5d5b5b3a616c7068613a5d5d3f24	C 0 0 0
X 2 636262	X 0 0
X 0 61616161616261	X 0 1 6,7
X 2 62636362616161	X 0 0
X 2 -	X 0 0
X 1 61	X 0 1 0,1
X 1 6161636263	X 0 0
C 0 5b612d635d5b5e615d5b5b3d613d5d5d5b5e615d	C 0 0 0
X 0 63636361626362	X 0 1 1,5
X 3 6161	X 0 0
X 3 626163	X 0 0
X 2 61616163626263	X 0 0
X 0 62636263616363	X 0 1 2,6
X 3 63	X 0 0
C 0 5b61625d5e5b61625d24	C 0 0 0
X 1 6163636262	X 0 0
X 1 63636262	X 0 0
X 2 6261	X 0 0
X 3 636363626363	X 0 0
X 2 61	X 0 0
X 1 62616261	X 0 0
C 0 5e622e5b5b3a616c7068613a5d5d	C 0 0 0
X 1 61636262	X 0 0
X 2 616262616162	X 0 0
X 2 626262	X 0 1 0,3
X 0 616163	X 0 0
X 0 63	X 0 0
X 2 6161616263	X 0 0
C 0 2e7b312c7d	C 0 0 0
X 0 6261	X 0 1 0,2
X 2 63	X 0 1 0,1
X 1 62626262	X 0 1 0,4
X 3 6362	X 0 1 0,2
X 2 616361626262	X 0 1 0,6
X 0 61	X 0 1 0,1
C 0 5b5b3a616c7068613a5d5d2a24	C 0 0 0
X 1 61	X 0 1 0,1
X 3 626261636163	X 0 0
X 3 6263636363	X 0 0
X 1 63	X 0 1 0,1
X 0 6261626163	X 0 1 0,5
